post_id,title,category,score,num_comments,author,collected_at
49694871,Watch AI materials-science and bioscience abilities closely,technology,15,10,joozio,2026-09-14 18:01:08
49693384,OpenArch – PyTorch implementations of modern LLM architectures,technology,59,10,anuj0456,2026-09-14 18:01:13
49695409,"Apple's Siri AI Can Be Swapped Out for Claude, ChatGPT, Code Shows",technology,22,4,tosh,2026-09-14 18:01:14
49695057,Show HN: StemJSON – a language for LLMs to extend native mobile apps on the fly,technology,5,0,vkrychun,2026-09-14 18:01:18
49690554,The case against JPEG XL,technology,199,258,contact9879,2026-09-14 18:01:22
49662246,"Rope, twine and thread: Invisible technologies of the Stone Age",technology,90,35,knowablemag,2026-09-14 18:01:30
49690260,Open-source AI and open models reading list,technology,127,24,simonpure,2026-09-14 18:01:44
49694596,Big AI sets out its terms for regulatory capture,technology,13,0,joebuckwilliams,2026-09-14 18:01:46
49683953,Data collected by cars and sold to third parties,technology,439,224,bookofjoe,2026-09-14 18:01:53
49694997,AI Risk: The Approval Nobody Signed Off,technology,6,0,SanjeevSharma,2026-09-14 18:02:09
49651567,Sean Carroll explains the biggest ideas in the universe – Full Interview [video] (2025),technology,91,26,binyu,2026-09-14 18:02:11
49694366,XCancel service is suspended (again),technology,6,0,shelfchair,2026-09-14 18:02:14
49692118,Who gets to define the rules for AI?,technology,45,32,throwworhtthrow,2026-09-14 18:02:16
49691584,"Chess.com Leak Exposes 7.3M Users, Evidence Points to Scraping",technology,74,20,kristianp,2026-09-14 18:02:19
49685253,"Garry Tan wants US open-weight AI labs to 'distill' frontier models, too",technology,392,216,TheJCDenton,2026-09-14 18:02:22
49678969,"Why are AI agents lying, cheating and coordinating?",technology,628,677,jonifico,2026-09-14 18:02:23
49643059,Bad code is kudzu,technology,59,19,surprisetalk,2026-09-14 18:02:25
49685991,David Sacks: OpenAI and Anthropic Don't Need Regulations to Pace Frontier Models,technology,310,231,kolanos,2026-09-14 18:02:29
49678423,TailTalk: A modern async user space AppleTalk stack with Rust and Tokio,technology,74,15,zdw,2026-09-14 18:02:30
49689534,The Three AI Pills,technology,22,6,maxutility,2026-09-14 18:02:46
49626718,A Design Space Exploration of Async/Await,technology,462,134,wcrichton,2026-09-14 18:02:53
49690411,AI Robots – When will they be in our homes,technology,40,41,andsoitis,2026-09-14 18:02:57
49694296,XCancel Taken Down Again,technology,73,82,gaganyaan,2026-09-14 18:03:02
49678683,Everyone should slow down AI development except for me,technology,780,443,xena,2026-09-14 18:03:03
49662371,A misalignment of AI in mathematics,technology,1228,1207,meredydd,2026-09-14 18:03:07
49690051,The Coming War on General Computation (2011),worldnews,104,36,gregsadetsky,2026-09-14 18:04:11
49638071,Reverse engineering my e-scooter and rewriting the firmware in Rust,worldnews,422,98,vinhnx,2026-09-14 18:04:16
49686766,"I'm being cyberattacked by Tesla, Inc",worldnews,438,118,robinpie,2026-09-14 18:05:12
49690139,“Chilling” warning or overreaction? AI bioweapons report divides experts,worldnews,32,23,sbulaev,2026-09-14 18:05:43
49682087,Revolut confirms customer data breach through fake government requests,worldnews,179,120,tdrz,2026-09-14 18:05:54
49683729,US Customs supervisor busted for stealing hardware from Homeland Security PCs,worldnews,131,108,Levitating,2026-09-14 18:06:22
49686697,Global shortage has led to motor oil rationing at Costco,worldnews,210,193,mikhael,2026-09-14 18:07:00
49691858,EPA Expected to Erase Limits on Climate Pollution from Power Plants,worldnews,6,0,foobarqux,2026-09-14 18:07:38
49689775,I Never Want to Use Third-Party Software Again,worldnews,8,3,gmays,2026-09-14 18:07:59
49663054,CIA Releases President's Daily Briefs in Commemoration of 9/11,worldnews,154,79,stmw,2026-09-14 18:08:06
49642396,SystemIO conflicts are not firmware bugs,worldnews,38,6,haeseong,2026-09-14 18:08:19
49666735,OpenAI agents carried out an undisclosed attack on RubyGems,worldnews,955,597,chao-,2026-09-14 18:08:27
49660576,Global Glacier Extinction Explorer,worldnews,158,64,guillego,2026-09-14 18:08:34
49628614,Understanding the recent DDoS attack against Read the Docs,worldnews,216,82,davidfischer,2026-09-14 18:08:41
49691129,A.I. Slopware Is Everywhere Now. Nobody Is Using It,worldnews,17,3,walterbell,2026-09-14 18:09:18
49684266,Houthis used Claude Code to develop missile guidance software: Anthropic,worldnews,100,88,delichon,2026-09-14 18:09:25
49679685,Anthropic CEO says AI swarm could 'take over the Internet' in 6-12 months,worldnews,47,33,pseudolus,2026-09-14 18:09:27
49624856,How I advertise malicious software on Google Ads,worldnews,436,260,xlii,2026-09-14 18:09:46
49658299,Houthis 'take control' of key island in global shipping route,worldnews,391,702,consumer451,2026-09-14 18:09:56
49688076,So software is mostly dead and hardware it is,worldnews,9,0,acopetkovic,2026-09-14 18:09:59
49685495,"AI Tools Accelerates Coding, but Not Overall Software Delivery – GitLab Research",worldnews,10,0,bucket2015,2026-09-14 18:10:33
